clip_name,context_word,clip_genre,TSNE1,TSNE2
Met_LOW_09,bar,Metal,0.80155236,22.320675
Ele_MED_19,concert,Electronic,17.427067,-31.719198
Ele_LOW_09,movie,Electronic,-37.372334,-7.5497236
Met_MED_20,movie,Metal,-27.458452,15.216083
80s_LOW_06,bar,80s,27.063463,36.062267
Jaz_MED_07,movie,Jazz,-14.238569,-2.1408494
Met_LOW_14,concert,Metal,-18.60394,22.711643
Met_MED_19,videogame,Metal,-31.473234,-17.637007
Met_MED_20,movie,Metal,28.630175,-0.15912302
80s_LOW_02,videogame,80s,16.747763,-3.7588058
Ele_LOW_09,movie,Electronic,-22.5905,5.357295
Jaz_LOW_21,bar,Jazz,-13.019801,-18.862663
Ele_MED_19,concert,Electronic,46.254845,14.713439
Jaz_LOW_19,videogame,Jazz,20.259043,10.820453
80s_LOW_06,bar,80s,40.263847,22.811441
Met_LOW_14,concert,Metal,36.33831,20.6407
Jaz_MED_02,concert,Jazz,3.8843994,32.681297
Met_LOW_14,concert,Metal,13.146368,-8.493076
80s_LOW_02,videogame,80s,0.41772497,-36.71846
80s_MED_13,concert,80s,-2.9705753,-18.77079
Met_MED_20,movie,Metal,-20.636911,-11.106832
Jaz_MED_02,concert,Jazz,32.972324,-24.0793
Jaz_LOW_19,videogame,Jazz,50.763325,4.8877134
Ele_MED_20,bar,Electronic,0.8180455,-6.412164
Jaz_LOW_21,bar,Jazz,31.624226,23.572975
Ele_LOW_14,videogame,Electronic,-35.10632,-31.389896
80s_MED_08,movie,80s,-40.708195,17.954107
Ele_MED_19,concert,Electronic,-38.100147,10.714626
80s_LOW_06,bar,80s,33.006134,37.601456
Met_LOW_09,bar,Metal,7.9469147,14.592456
Jaz_MED_07,movie,Jazz,28.73995,-9.861017
Met_MED_19,videogame,Metal,-41.704212,-20.981941
Ele_LOW_09,movie,Electronic,-19.560617,-42.592022
Jaz_MED_07,concert,Jazz,46.783875,2.560516
Ele_MED_19,bar,Electronic,12.322119,-8.373232
Met_MED_19,concert,Metal,-30.02765,22.899935
Ele_LOW_14,movie,Electronic,13.844639,6.142844
Ele_LOW_09,concert,Electronic,10.011706,-3.706921
Jaz_LOW_19,bar,Jazz,38.427658,-8.601343
Met_LOW_09,movie,Metal,29.478104,3.0981565
Met_LOW_14,videogame,Metal,-49.337555,-22.01084
Jaz_MED_02,movie,Jazz,44.106274,6.934978
Met_MED_20,bar,Metal,-5.7036066,13.050317
