type,sim
sContext_dClip,0.96947825
sContext_dClip,0.9551349
sContext_dClip,0.95306516
sContext_dClip,0.946165
sContext_dClip,0.975437
sContext_dClip,0.95894533
sContext_dClip,0.97195005
sContext_dClip,0.96593344
sContext_dClip,0.96774644
sContext_dClip,0.9789204
sContext_dClip,0.9797921
sContext_dClip,0.96046984
sContext_dClip,0.9623106
sContext_dClip,0.9736939
sContext_dClip,0.9563689
sContext_dClip,0.95289487
sContext_dClip,0.94307625
sContext_dClip,0.9786286
sContext_dClip,0.97856045
sContext_dClip,0.96232283
sContext_dClip,0.97358745
sContext_dClip,0.9690088
sContext_dClip,0.9616884
sContext_dClip,0.96986187
sContext_dClip,0.9646584
sContext_dClip,0.96123993
sContext_dClip,0.9688803
sContext_dClip,0.9696173
sContext_dClip,0.9573494
sContext_dClip,0.9560841
sContext_dClip,0.94753385
sContext_dClip,0.971853
sContext_dClip,0.97212815
sContext_dClip,0.98463154
dContext_sClip,0.98562616
dContext_sClip,0.9792369
dContext_sClip,0.9773002
dContext_sClip,0.9762175
dContext_sClip,0.9798485
dContext_sClip,0.98451203
dContext_sClip,0.9796945
dContext_sClip,0.97508276
dContext_sClip,0.9773387
dContext_sClip,0.9790337
dContext_sClip,0.9810071
dContext_sClip,0.9834975
dContext_sClip,0.9821869
dContext_sClip,0.9811778
dContext_sClip,0.98202324
dContext_sClip,0.97606087
dContext_sClip,0.98301184
dContext_sClip,0.97844964
dContext_sClip,0.9696162
dContext_sClip,0.9784659
dContext_sClip,0.9789292
dContext_sClip,0.9821167
dContext_sClip,0.9739749
dContext_sClip,0.9829496
dContext_sClip,0.9741541
dContext_sClip,0.9782733
dContext_sClip,0.9733666
dContext_sClip,0.97906524
dContext_sClip,0.9820944
dContext_sClip,0.97480947
dContext_sClip,0.97794664
dContext_sClip,0.9747871
dContext_sClip,0.9858377
dContext_sClip,0.98075557
dContext_sClip,0.97215265
dContext_sClip,0.97768927
dContext_sClip,0.9832616
dContext_sClip,0.9748121
dContext_sClip,0.98201597
dContext_sClip,0.9809847
dContext_sClip,0.9677065
dContext_sClip,0.9732896
dContext_sClip,0.9767935
dContext_sClip,0.9692289
dContext_sClip,0.9830196
dContext_sClip,0.9823122
dContext_sClip,0.98478633
dContext_sClip,0.9819482
dContext_sClip,0.9817249
dContext_sClip,0.9795756
dContext_sClip,0.9818301
dContext_sClip,0.9679278
dContext_sClip,0.9745993
dContext_sClip,0.9742222
dContext_sClip,0.96886545
dContext_sClip,0.97113883
dContext_sClip,0.97650135
dContext_sClip,0.96971583
dContext_sClip,0.9715841
dContext_sClip,0.9722185
dContext_sClip,0.98049545
dContext_sClip,0.98136985
dContext_sClip,0.9859731
dContext_sClip,0.9754826
dContext_sClip,0.9807612
dContext_sClip,0.98142505
dContext_sClip,0.9812746
dContext_sClip,0.9794653
dContext_sClip,0.98047036
dContext_sClip,0.9736107
dContext_sClip,0.9822087
dContext_sClip,0.9777998
dContext_sClip,0.96566284
dContext_sClip,0.96453863
dContext_sClip,0.9645399
dContext_sClip,0.9702841
dContext_sClip,0.97350764
dContext_sClip,0.98132366
dContext_sClip,0.98174584
dContext_sClip,0.97599494
dContext_sClip,0.9831604
dContext_sClip,0.9860467
dContext_sClip,0.9845576
dContext_sClip,0.9878973
dContext_sClip,0.9717999
dContext_sClip,0.974533
dContext_sClip,0.9832872
dContext_sClip,0.9749516
dContext_sClip,0.9616059
dContext_sClip,0.97721267
dContext_sClip,0.9728693
dContext_sClip,0.972365
dContext_sClip,0.9804683
dContext_sClip,0.97698474
dContext_sClip,0.96497345
dContext_sClip,0.9764807
dContext_dClip,0.9715374
dContext_dClip,0.97087073
dContext_dClip,0.9685906
dContext_dClip,0.96286535
dContext_dClip,0.9592377
dContext_dClip,0.98012257
dContext_dClip,0.9713335
dContext_dClip,0.97461104
dContext_dClip,0.9740649
dContext_dClip,0.98188525
dContext_dClip,0.9838891
dContext_dClip,0.9675238
dContext_dClip,0.97178924
dContext_dClip,0.9685242
dContext_dClip,0.96384656
dContext_dClip,0.9710466
dContext_dClip,0.98222756
dContext_dClip,0.9676368
dContext_dClip,0.9722489
dContext_dClip,0.96960455
dContext_dClip,0.9698426
dContext_dClip,0.9696565
dContext_dClip,0.9696121
dContext_dClip,0.9823253
dContext_dClip,0.97295797
dContext_dClip,0.9732107
dContext_dClip,0.9684647
dContext_dClip,0.9701075
dContext_dClip,0.9717175
dContext_dClip,0.9692595
dContext_dClip,0.96996844
dContext_dClip,0.97273
dContext_dClip,0.967077
dContext_dClip,0.96511877
dContext_dClip,0.9620241
dContext_dClip,0.9698064
dContext_dClip,0.96516544
dContext_dClip,0.97441876
dContext_dClip,0.9716126
dContext_dClip,0.9696582
dContext_dClip,0.9682388
dContext_dClip,0.96748465
dContext_dClip,0.9701592
dContext_dClip,0.97013557
dContext_dClip,0.9712324
dContext_dClip,0.975734
dContext_dClip,0.9734235
dContext_dClip,0.9719987
dContext_dClip,0.9673989
dContext_dClip,0.96456087
dContext_dClip,0.9795081
dContext_dClip,0.9791662
dContext_dClip,0.9709892
dContext_dClip,0.97832483
dContext_dClip,0.9747781
dContext_dClip,0.97267413
dContext_dClip,0.9740677
dContext_dClip,0.97115827
dContext_dClip,0.96982956
dContext_dClip,0.96796477
dContext_dClip,0.9639951
dContext_dClip,0.9661336
dContext_dClip,0.96520877
dContext_dClip,0.9674167
dContext_dClip,0.97902477
dContext_dClip,0.9710795
dContext_dClip,0.965935
dContext_dClip,0.9684269
dContext_dClip,0.97377574
dContext_dClip,0.96221805
dContext_dClip,0.961625
dContext_dClip,0.9682336
dContext_dClip,0.97764665
dContext_dClip,0.97616553
dContext_dClip,0.97363394
dContext_dClip,0.94723123
dContext_dClip,0.9537274
dContext_dClip,0.9581177
dContext_dClip,0.95763236
dContext_dClip,0.97756755
dContext_dClip,0.955053
dContext_dClip,0.9547845
dContext_dClip,0.9636514
dContext_dClip,0.96414286
dContext_dClip,0.94753736
dContext_dClip,0.9513625
dContext_dClip,0.9566665
dContext_dClip,0.9709658
dContext_dClip,0.97066486
dContext_dClip,0.97000504
dContext_dClip,0.9832017
dContext_dClip,0.97533685
dContext_dClip,0.97219497
dContext_dClip,0.96130717
dContext_dClip,0.9668871
dContext_dClip,0.9625559
dContext_dClip,0.97576416
dContext_dClip,0.97427785
dContext_dClip,0.9735696
dContext_dClip,0.97759515
dContext_dClip,0.98065054
dContext_dClip,0.9660097
dContext_dClip,0.9677627
dContext_dClip,0.9659338
dContext_dClip,0.95954067
dContext_dClip,0.96799535
dContext_dClip,0.9621894
dContext_dClip,0.96244067
dContext_dClip,0.9702779
dContext_dClip,0.9691031
dContext_dClip,0.9585733
dContext_dClip,0.97594684
dContext_dClip,0.9639885
dContext_dClip,0.9699764
dContext_dClip,0.9630126
dContext_dClip,0.96797884
dContext_dClip,0.9612091
dContext_dClip,0.96432364
dContext_dClip,0.96190584
dContext_dClip,0.96173817
dContext_dClip,0.97272795
dContext_dClip,0.9759778
dContext_dClip,0.9784478
dContext_dClip,0.96853685
dContext_dClip,0.97842026
dContext_dClip,0.97730196
dContext_dClip,0.9744749
dContext_dClip,0.97347605
dContext_dClip,0.9830494
dContext_dClip,0.9761406
dContext_dClip,0.975207
dContext_dClip,0.97463983
dContext_dClip,0.9797084
dContext_dClip,0.9799361
dContext_dClip,0.9761471
dContext_dClip,0.96998376
dContext_dClip,0.9728719
dContext_dClip,0.9811897
dContext_dClip,0.9706699
dContext_dClip,0.970835
dContext_dClip,0.9610764
dContext_dClip,0.96807843
dContext_dClip,0.9623884
dContext_dClip,0.97699964
dContext_dClip,0.9685662
dContext_dClip,0.9705335
dContext_dClip,0.9639757
dContext_dClip,0.97509736
dContext_dClip,0.969444
dContext_dClip,0.9715057
dContext_dClip,0.9749136
dContext_dClip,0.97319406
dContext_dClip,0.9720762
dContext_dClip,0.9680537
dContext_dClip,0.9587822
dContext_dClip,0.95552784
dContext_dClip,0.9725609
dContext_dClip,0.9736357
dContext_dClip,0.9651327
dContext_dClip,0.97673345
dContext_dClip,0.97606784
dContext_dClip,0.9696481
dContext_dClip,0.96509147
dContext_dClip,0.96594054
dContext_dClip,0.96165186
dContext_dClip,0.982419
dContext_dClip,0.9795078
dContext_dClip,0.970861
dContext_dClip,0.9649341
dContext_dClip,0.9603144
dContext_dClip,0.9572444
dContext_dClip,0.97515047
dContext_dClip,0.968443
dContext_dClip,0.9695219
dContext_dClip,0.9777046
dContext_dClip,0.9849348
dContext_dClip,0.9576219
dContext_dClip,0.96439356
dContext_dClip,0.9653028
dContext_dClip,0.9569082
dContext_dClip,0.9589632
dContext_dClip,0.9549333
dContext_dClip,0.96215653
dContext_dClip,0.9537389
dContext_dClip,0.9651527
dContext_dClip,0.9690364
dContext_dClip,0.95881164
dContext_dClip,0.9600734
dContext_dClip,0.9546259
dContext_dClip,0.9597734
dContext_dClip,0.9627451
dContext_dClip,0.954357
dContext_dClip,0.9753647
dContext_dClip,0.9824598
dContext_dClip,0.9748572
dContext_dClip,0.9680668
dContext_dClip,0.97065574
dContext_dClip,0.9759401
dContext_dClip,0.96588194
dContext_dClip,0.9794394
dContext_dClip,0.9734018
dContext_dClip,0.97049797
dContext_dClip,0.9703804
dContext_dClip,0.97035015
dContext_dClip,0.9733893
dContext_dClip,0.9708908
dContext_dClip,0.96849567
dContext_dClip,0.98058176
dContext_dClip,0.98147
dContext_dClip,0.98051083
dContext_dClip,0.95257705
dContext_dClip,0.9464931
dContext_dClip,0.95806044
dContext_dClip,0.94967186
dContext_dClip,0.9665363
dContext_dClip,0.9638171
dContext_dClip,0.95380354
dContext_dClip,0.9526686
dContext_dClip,0.957047
dContext_dClip,0.9535607
dContext_dClip,0.95063275
dContext_dClip,0.94900405
dContext_dClip,0.97842824
dContext_dClip,0.97886336
dContext_dClip,0.982669
dContext_dClip,0.9602618
dContext_dClip,0.95926875
dContext_dClip,0.9695246
dContext_dClip,0.9590774
dContext_dClip,0.9697727
dContext_dClip,0.95855397
dContext_dClip,0.96568936
dContext_dClip,0.96504754
dContext_dClip,0.97326165
dContext_dClip,0.9593731
dContext_dClip,0.9659538
dContext_dClip,0.9612243
dContext_dClip,0.9801812
dContext_dClip,0.9804164
dContext_dClip,0.9810626
dContext_dClip,0.9673532
dContext_dClip,0.96152616
dContext_dClip,0.9569054
dContext_dClip,0.9527428
dContext_dClip,0.9544569
dContext_dClip,0.9786811
dContext_dClip,0.9766972
dContext_dClip,0.96599865
dContext_dClip,0.9657243
dContext_dClip,0.97807765
dContext_dClip,0.97760445
dContext_dClip,0.95830405
dContext_dClip,0.96211934
dContext_dClip,0.9605634
dContext_dClip,0.9550797
dContext_dClip,0.9645967
dContext_dClip,0.96774155
dContext_dClip,0.9744712
dContext_dClip,0.9581955
dContext_dClip,0.9408119
dContext_dClip,0.9757327
dContext_dClip,0.96216965
dContext_dClip,0.9674599
dContext_dClip,0.9615719
dContext_dClip,0.9689903
dContext_dClip,0.9725823
dContext_dClip,0.9564245
dContext_dClip,0.96444535
dContext_dClip,0.9473133
dContext_dClip,0.95744294
dContext_dClip,0.96511996
dContext_dClip,0.97630775
dContext_dClip,0.964576
dContext_dClip,0.96034044
dContext_dClip,0.95728076
dContext_dClip,0.96764565
dContext_dClip,0.96076417
dContext_dClip,0.96646696
dContext_dClip,0.9758874
dContext_dClip,0.9649576
dContext_dClip,0.96834826
dContext_dClip,0.95556235
dContext_dClip,0.9668131
