TSNE1,TSNE2,term
-2.6442704,0.5915591,still
-15.372125,-9.543693,pit
4.62638,-10.299855,context
-3.0518599,6.0665445,disco
-16.188496,-0.72185457,call
5.6471467,2.3267527,beautiful
-4.6857967,-3.1030831,eye
-15.042229,-15.389035,final
-9.15118,-1.5662317,inside
7.8428082,-3.5310175,relaxed
-11.4627285,-12.950427,sure
-8.6831,7.6471395,pace
-7.208115,-2.876666,real
14.517013,-14.024008,dim
18.9323,-6.548127,reason
5.5400743,4.574041,title
-3.720563,-0.62816596,musician
10.777536,-14.323692,hat
4.371048,1.0138612,hang
-13.421847,4.331186,likely
12.005545,-13.919089,classical
1.4638461,-14.133523,artist
13.122113,0.40109846,sunset
17.034414,6.332545,strobe
-3.2281353,3.6454537,entertain
-8.357935,4.2706366,since
-6.32605,-6.390092,possibly
-12.491618,8.682059,hotel
2.0988271,6.0666914,montage
-14.416581,-7.9301505,suspense
1.2132505,-0.3471502,base
11.710457,-2.4061308,hold
-12.372931,-6.758355,trip
0.4465572,4.3299437,animated
-16.179678,-7.965047,bang
14.384238,3.2478642,turn
-6.8636065,2.6903684,never
-3.4300685,-3.0033023,smooth
-11.443707,3.4443128,building
5.784007,-2.1133256,effect
-19.957539,6.864035,dimly
-3.8637037,-0.2538273,eat
1.9271843,-6.2036514,pop
-7.703598,1.2823658,lady
10.302921,-4.683689,relaxing
9.584286,-3.2645295,actor
14.530809,6.768689,cyberpunk
-0.9388012,-12.142225,romance
-15.746286,14.224169,sister
0.8032682,-14.932148,musical
4.7323523,-17.233433,church
7.860487,-4.3171296,sky
8.116056,-11.362755,motion
5.288178,-4.2293773,cry
-7.329082,-2.9758148,id
0.17222254,-1.6614541,company
3.223078,-10.644741,relate
-4.0908556,-4.9762316,classy
-14.0550785,-6.3592076,match
14.925245,7.0436816,techno
-7.5521235,-9.428478,dragon
-5.877927,7.233538,wedding
-1.6899989,-4.4569616,favorite
7.065756,-0.9858126,nature
-0.82665133,6.277569,american
4.5840874,-17.51091,fantasy
-7.7008934,-10.053555,fighting
-3.605051,-2.9815512,cozy
-4.966,-9.756685,enemy
11.610385,-1.4963673,everything
-1.7325643,2.4090273,modern
-6.559966,-4.2549486,popular
-2.601652,0.44098517,nothing
0.49041462,1.2827281,pick
-6.550141,-1.2467706,else
-13.149439,9.52776,tom
9.645311,-0.2205974,hit
3.740102,2.5796857,weekend
13.708325,-13.429454,corner
-4.959236,-2.156579,somewhere
-3.1946874,-2.0476089,top
8.746654,-7.294513,minecraft
11.085932,2.2889297,appear
1.6372173,6.3763313,instantly
-13.999275,4.4040923,complete
-15.513782,-0.9938218,genre
-3.9529345,4.9826307,etc
0.11020285,-4.795543,important
4.1041555,-3.7919443,towards
-6.4336414,-9.142887,involve
-13.717277,15.642928,float
-12.561268,-4.847023,electric
-5.7218375,3.7910745,holiday
-13.696188,-3.2696211,computer
-7.8646474,-6.194396,always
2.8258965,-0.58281785,tone
1.513237,10.732339,smile
7.5984244,-4.5987554,focus
4.405089,-3.251912,emotion
6.9370337,0.102298714,deep
0.016199656,8.291855,theres
-10.6203785,-6.345221,expect
-10.296773,-2.9336,may
-11.24095,9.232968,environment
-3.5047553,6.0168624,last
-12.438486,-8.828981,headbanging
-15.335667,-8.575854,punk
-6.57778,7.007123,store
10.406394,2.9505687,lighting
6.2761607,-3.1602912,girlfriend
11.694237,2.9143963,huge
-11.737605,-2.819412,sequence
7.396992,-3.2543402,change
-0.9683399,-2.187779,paced
-6.821648,9.18857,celebration
-3.302094,3.8676033,lively
-10.696656,-8.096965,venue
0.5462122,1.3535552,somewhat
10.161753,1.3898871,dad
-15.441426,-1.9235244,bride
-4.7841086,-6.8819103,near
7.429609,-10.6781645,usually
6.3792877,-3.5828958,break
-11.560731,-13.090181,boss
-13.465648,-4.0179634,gig
19.216719,-7.4049964,ice
6.76759,-1.4448887,serious
-2.2435453,-3.837485,noise
2.4947064,0.7383384,note
-5.7821593,-2.6146643,self
6.8690677,12.301339,arena
7.8560853,-6.772578,forest
-12.226556,-7.552507,scream
-1.4936821,4.73056,reach
-13.360512,-0.7457756,fan
10.747146,17.38022,however
5.016973,-7.489254,cold
7.3567944,-6.3088803,rainy
-0.15831894,-12.296437,tension
-6.838521,2.1952631,everyones
5.306121,1.0410284,mysterious
17.213488,2.6920884,neon
-4.1375866,-1.9151596,sip
-12.188691,-9.265047,flame
-6.550381,-1.1992656,year
-8.638655,-7.9116297,sevenfold
-13.101843,15.414757,peace
-10.879302,-2.5268493,zombie
4.4127336,-2.1643472,prompt
1.2245742,6.8171625,attention
-7.2875414,4.7753215,friendly
-0.2801607,-4.0901866,rhythm
-12.573965,5.950371,entertainment
-12.176122,-3.2569766,pack
-8.860558,1.2541219,war
-3.4601927,-1.8532113,smoking
-7.8653517,-7.901983,exactly
-13.795021,-0.8293332,youtube
18.914404,5.166579,laser
-11.073818,-6.2625265,teenager
-15.435688,-1.9136529,veil
1.3943965,-14.007218,michael
-12.301008,14.908724,soothe
0.3809385,2.8988082,catch
-6.075204,0.6431176,tap
-4.566656,-7.361766,vocal
0.4880328,-2.4794598,follow
-0.7409841,-1.9287072,favourite
-6.493793,0.6970487,jazzy
9.789291,2.219939,low
-5.6972523,5.492879,food
6.2896376,-5.439144,intimate
-1.6188526,4.8121667,section
2.4197235,7.916215,whole
-4.9013953,-14.03414,villain
-12.960464,9.381414,jerry
-4.361963,1.8681902,straight
0.8823688,3.277203,park
-2.0409727,2.1175115,enjoyable
-7.9526267,8.116278,particular
2.5049202,-12.221752,ambient
2.1390243,-1.8828317,rest
11.335326,8.561164,machine
2.1688807,2.264732,behind
3.253412,-11.916053,lover
11.261979,17.505898,bowser
1.8254721,2.0939457,sport
-6.3059115,-4.1028695,actually
